id,Game Title,Year,Publisher,North America,Europe,Japan,Rest of World,Global,Number of Reviews,Summary,Wishlist,Platform,Genre,Rating
424,Pokémon Sun,2007.0,,0.08,0.02,0.0,0.01,0.17,600.0,"Pokémon Sun and Pokémon Moon trademarks were registered thus leaking the next Pokémon game titles to the public. Pokémon.com confirmed the games would be for the Nintendo 3DS and released in holiday 2016, with a new world, new Pokémon, and new adventures.
             

              Pokémon Sun and Pokémon Moon will be the first games in the Pokémon series to allow players to choose from nine languages to play in. In addition to English, French, German, Italian, Japanese, Korean, and Spanish, players will now be able to play in both Traditional and Simplified Chinese.",230.0,2600,Strategy,7.205294389977075
425,Pokémon Moon,2007.0,,0.08,0.02,0.0,0.01,0.17,648.0,"Pokémon Sun and Pokémon Moon trademarks were registered thus leaking the next Pokémon game titles to the public. Pokémon.com confirmed the games would be for the Nintendo 3DS and released in holiday 2016, with a new world, new Pokémon, and new adventures.
             

              Pokémon Sun and Pokémon Moon will be the first games in the Pokémon series to allow players to choose from nine languages to play in. In addition to English, French, German, Italian, Japanese, Korean, and Spanish, players will now be able to play in both Traditional and Simplified Chinese.",234.0,2600,RPG,7.295271881056659
426,Pokémon Red,2007.0,,0.08,0.02,0.0,0.01,0.17,734.0,"Pokémon Red, along with Pokémon Green, are the first video games in the Pokémon series of games. They are the first paired versions of Generation I. Developed over the course of several years, Red and Green established several standards for later Pokémon games and sequels. They take place in the Kanto region, with the player having to collect eight Gym Badges to become the Pokémon Champion while also completing the Pokédex by collecting all 151 Pokémon.",154.0,2600,Turn Based Strategy,7.272672880747511
427,Pokémon LeafGreen,2007.0,,0.08,0.02,0.0,0.01,0.17,413.0,"Pokémon LeafGreen Version and Pokémon FireRed Version are a pair of core series Generation III games that are set in the Kanto region. They were released in Japan on January 29, 2004, in North America on September 9, 2004, in Australia on September 23, 2004 and in Europe on October 1, 2004.
              
              As the first remakes in the Pokémon franchise, the games revisit the original pair of Pokémon games, Pokémon Red and Green Versions, and so feature all of the characters, plot elements, and challenges of them, but with several important upgrades to bring them up to speed with other Generation III games.
              
              The Game Boy Advance Wireless Adapter was initially included with the games when they were first released, eliminating the need for Game Link Cables when trading between the two games (and later Pokémon Emerald Version). In later copies, it was sold separately.
              
              FireRed and LeafGreen went on to become the second best-selling games of the Game Boy Advance, only behind Pokémon Ruby and Sapphire Versions. They also received Nintendo's Player's Choice awards.",128.0,2600,Turn Based Strategy,7.239491663666435
428,Pokémon HeartGold,2007.0,,0.08,0.02,0.0,0.01,0.17,892.0,"Pokémon HeartGold Version and Pokémon SoulSilver Version are paired Generation IV remakes of the Generation II games Pokémon Gold and Silver.
              
              Much like how Pokémon FireRed and LeafGreen revisited the Generation I story of Kanto, HeartGold and SoulSilver retell the story of Johto, with the player's starting town being New Bark Town. While the games feature several expansions in key areas, the overall plot follows the same direction as the original Gold and Silver. Some aspects exclusive to Crystal are also included. Like how FireRed and LeafGreen could link up with Ruby, Sapphire, and Emerald to complete the Pokédex by trading regionally exclusive Pokémon, HeartGold and SoulSilver can link up with Diamond, Pearl, and Platinum to obtain Pokémon unavailable in Johto and Kanto (such as the Sinnoh starters) and vice versa.
              
              Kris, despite being the female counterpart of Crystal's player character, is not included as the female player character, with a new character instead taking her place. Whether she is chosen to be the player character or not, this new character will still appear in the game. The unselected protagonist will take a pseudo-rival role similar to the unselected characters of Ruby, Sapphire, Emerald, Diamond, Pearl, and Platinum.
              
              The games were released on September 12, 2009 in Japan, February 4, 2010 in Korea, March 14, 2010 in North America, March 25, 2010 in Australia and March 26, 2010 in Europe (this excludes the Netherlands, Luxembourg and parts of Belgium due to an in-game save error, with the patched copies later released on April 2, 2010).",331.0,2600,RPG,7.3023026235701405
429,Pokémon Gold,2007.0,,0.08,0.02,0.0,0.01,0.17,495.0,"Pokémon Gold, along with Pokémon Silver, are the sequels to Pokémon Red and Blue. They offer 100 new Pokémon to capture and train, 8 more Gyms to take on and a new Pokémon League challenge. Featuring an expanded post-game, Pokémon Gold and Silver additionally offer extra content from the previous entries in the series.",133.0,2600,Adventure,7.198869601659825
430,Pokémon Emerald,2007.0,,0.08,0.02,0.0,0.01,0.17,1.2K,"Pokémon Emerald Version is a sister game to Pokémon Ruby and Sapphire. Emerald Version provided the main storyline with more depth and length, as well as making small aesthetic changes to the world and adding unique animations for each Pokémon.",376.0,2600,RPG,7.095236054703028
431,Pokémon Crystal,2007.0,,0.08,0.02,0.0,0.01,0.17,716.0,"Pokémon Crystal is a special edition of Pokémon Gold and Silver. It added the option to play as a female character, expanded upon the storyline and made slight aesthetic changes to the still-intact core experience of becoming a Pokémon Master.",236.0,2600,RPG,7.236541338814182
432,Pokémon Blue,2007.0,,0.08,0.02,0.0,0.01,0.17,549.0,"Pokémon Blue is the third core series Pokémon game released as a minor revision of Pokémon Red and Green, which were released earlier that year. It was thus the first solitary version in the core series of Pokémon games. Various fixes in the game include a graphics and sound upgrade, as well as the removal of several known glitches that had been found in the original pair. Outside of Japan, its graphics, game engine and script formed the basis of Pokémon Red and Blue, while the wild Pokémon and game-exclusive Pokémon lists were changed to match Red and Green.",101.0,2600,RPG,7.227012363720799
433,Pokémon Black,2007.0,,0.08,0.02,0.0,0.01,0.17,1.0K,"Pokémon Black Version and Pokémon White Version are the primary paired versions of Generation V.
              
              Black and White follow the trends set up by previous games in the series. Two player characters (one male and one female) travel a new region, Unova, on their Pokémon journeys. This region is inhabited by various Pokémon, and unlike before, none of those available prior to Generation V can be obtained before completing the main story by defeating Team Plasma.
              
              The games' names were revealed on the official Japanese Pokémon website on April 9, 2010, and scans from the subsequent issue of the magazine leaked the following day, April 10.
              
              Pokémon Black and White are followed in 2012 by two sequels, Pokémon Black 2 and White 2, which are set two years after the events of Black and White. Black 2 and White 2 are the second and final paired versions of Generation V.",461.0,2600,Turn Based Strategy,7.305767743600991
434,Pokémon Black Version 2,2007.0,,0.08,0.02,0.0,0.01,0.17,776.0,"Pokémon Black Version 2 and Pokémon White Version 2 are the second and final paired versions of Generation V and are the sequels of Pokémon Black and White, respectively.
              
              Both games were revealed on Pokémon Smash! by Junichi Masuda, and subsequently the official Japanese and international Pokémon websites, on February 26, 2012. They were released in Japan on June 23, 2012, in North America on October 7, 2012, in Australia on October 11, 2012, in Europe on October 12, 2012 and in South Korea on November 8, 2012.
              
              The games feature two new forms of Kyurem that serve as the game mascots of the games: Black Kyurem for Black 2 and White Kyurem for White 2.",449.0,2600,Adventure,7.206094552610163
435,Pokémon Añil,2007.0,,0.08,0.02,0.0,0.01,0.17,2.0,"Pokémon Añil is the fourth video game created by EricLostie after ""Pokémon Opalo"". Kanto returns, but this time from a perspective never seen before, with a much deeper story and improved graphics.",7.0,2600,RPG,7.349637010205105
436,PokÃ©mon Diamond,2007.0,,0.08,0.02,0.0,0.01,0.17,581.0,"PokÃ©mon Diamond Version and Pearl Version are role-playing games (RPGs) developed by Game Freak and published by Nintendo for the Nintendo DS. With the enhanced remake PokÃ©mon Platinum, the games comprise the fifth installment and fourth generation of the PokÃ©mon series of RPGs. First released in Japan on September 28, 2006, the games were later released to North America, Australia, and Europe over the course of 2007.
             

              Like previous PokÃ©mon games, Diamond and Pearl chronicle the adventures of a young PokÃ©mon trainer as he/she trains and battles PokÃ©mon while also thwarting the schemes of a criminal organization. The games add many new features, such as Internet play over the Nintendo Wi-Fi Connection and changes to battle mechanics and PokÃ©mon Contests, along with addition of 107 new PokÃ©mon. The games are independent of each other but feature largely the same plot and while both can be played separately, it is necessary to trade between them in order to complete the games' PokÃ©dexes.",170.0,2600,Turn Based Strategy,7.343707204723346
437,Pokémon Rumble Blast,2007.0,,0.08,0.02,0.0,0.01,0.17,96.0,"Pokemon Rumble Blast, the first Pokemon game created exclusively for the Nintendo 3DS system, is an action-packed Pokemon adventure in 3D! Battle against waves of opponents, connect and play with friends, and collect more than 600 different Toy Pokemon!
             

              As you advance through each stage in Pokemon Rumble Blast, your Toy Pokemon will face dozens of Pokemon at once in fast and furious real-time battles! You'll also run into giant Boss Pokemon, whose massive size and strength will make them especially tough to defeat and who can become powerful allies if you're lucky!",39.0,2600,Brawler,7.225761682935717
438,Pokémon Pinball: Ruby & Sapphire,2007.0,,0.08,0.02,0.0,0.01,0.17,135.0,"Pokemon Pinball has all the features you'd demand of a pinball game, including bonus tables, lots of bumpers and ways to score massive points. As with your standard videogame pinball game, the left button on the D-pad and the A-button control the flippers with the R/L triggers used to shake the table. The catch here is that everything is themed in Pokemon. Instead of a ball, you make use of a Pokeball. Instead of standard bumpers, you're hitting the Pokeball against other Pokemon, and the ultimate goal is of course to ""catch 'em all"". The game features 200 Pokemon, two main tables, and link cable support.",69.0,2600,Pinball,7.078583212359368
439,PlayStation All-Stars Battle Royale,2007.0,,0.08,0.02,0.0,0.01,0.17,208.0,"Playstation All-Stars Battle Royal is a cross over fighting game featuring (mostly exclusive) iconic characters from various Playstation franchises. Each stage also feature prominent setting from other franchises.
             

              Playable characters are:
              
              Big Daddy (Bioshock)
              
              Cole MacGrath (Infamous)
              
              Colonel Radec (Killzone)
              
              Dante (DMC)
              
              Emmett Graves (Starhawk) (DLC content)
              
              Evil Cole McGrath (Infamous)
              
              Fate Princess (Fat Princess)
              
              Heihachi Mishima (Tekken)
              
              Isaac Clarke (Dead Space) (DLC content)
              
              Jak and Daxter (Jak and Daxter)
              
              Kat (Gravity Rush) (DLC content)
              
              Kratos (God of War)
              
              Nariko (Heavenly Sword)
              
              Nathan Drake (Uncharted)
              
              Parappa (Parappa the rapper)
              
              Raiden (Metal Gear Revengeance)
              
              Ratchet and Clank (Ratchet and Clank)
              
              Sackboy (Little Big Planet)
              
              Sir Daniel Fortesque (MediEvil)
              
              Sly Cooper (Sly Cooper)
              
              Spike (Ape Escape)
              
              Sweet Tooth (Twisted Metal)
              
              Toro Inoue (Doku Demo Issyo)
              
              Zeus (God of War) (DLC content)",78.0,2600,Platform,7.082757604490483
440,Deadly Premonition,2007.0,,0.08,0.02,0.0,0.01,0.17,431.0,"Playing as special agent Francis York Morgan (call him York – everyone else does), it’s your job to investigate the brutal murder of a young local beauty in the town of Greenvale. Amidst the backdrop of soaring mountains and a small American suburb, York must solve the mystery of the Red Seed Murders and stay alive in a place where supernatural creatures and a mysterious raincoat-clad, axe-wielding killer seek to end his investigation for good.
             

              Part suspense-filled horror, part action-adventure game, Deadly Premonition offers an open-world experience packed with locals to meet and places to discover, as well as numerous side quests and mini-games that will help you solve the murders and uncover Greenvale’s deepest, darkest secrets.",628.0,2600,Shooter,6.991375758065746
441,South Park: The Fractured But Whole,2007.0,,0.08,0.02,0.0,0.01,0.17,369.0,"Players will once again assume the role of the New Kid, and join South Park favorites Stan, Kyle, Kenny and Cartman in a new hilarious and outrageous adventure. This time, players will delve into the crime-ridden underbelly of South Park with Coon and Friends.
             

              This dedicated group of crime fighters was formed by Eric Cartman whose superhero alter-ego, The Coon, is half man, half raccoon. As the New Kid, players will join Mysterion, Toolshed, Human Kite, Mosquito, Mint Berry Crunch and a host of others to battle the forces of evil while Coon strives to make his team the most beloved superheroes in history.",512.0,2600,Strategy,7.319177592606455
442,Tony Hawk's Pro Skater 1+2,2007.0,,0.08,0.02,0.0,0.01,0.17,498.0,"Play the fully-remastered Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 games in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered.",607.0,2600,Sport,7.239993211026627
443,Muse Dash,2007.0,,0.08,0.02,0.0,0.01,0.17,185.0,"Play as characteristic heroines, dash through fairy tale like stages, dancing to the rhythm and beats, kick those silly cute enemies into outer space!",193.0,2600,Music,7.3477126368028065
444,Plague Inc: Evolved,2007.0,,0.08,0.02,0.0,0.01,0.17,88.0,"Plague Inc: Evolved is a unique mix of high strategy and terrifyingly realistic simulation. Your pathogen has just infected 'Patient Zero' - now you must bring about the end of human history by evolving a deadly, global Plague whilst adapting against everything humanity can do to defend itself.",62.0,2600,Simulator,7.321988731975239
445,Pizza Tower,2007.0,,0.08,0.02,0.0,0.01,0.17,363.0,"Pizza Tower is a 2D platformer mainly inspired by Wario Land and Earthworm Jim. The game has over-the-top hand-drawn animations and music. You play as Peppino Spaghetti, a manic pizza man with many abilities like charging, super jumping and dashing. Peppino has to go up each floor of the tower by finding keys, saving toppins folks and getting as many points as possible!",1.3K,2600,Platform,7.338221846654467
446,Phoenix Wright: Ace Attorney - Trials and Tribulations,2007.0,,0.08,0.02,0.0,0.01,0.17,995.0,"Phoenix Wright: Ace Attorney − Trials and Tribulations (known as Gyakuten Saiaban 3 in Japan) is the third game in the Ace Attorney series. Players take on the role of Phoenix Wright, a defense attorney known for taking on seemingly impossible cases. While the game focuses on a few specific cases, the overarching story of the Phoenix Wright franchise spans the length of the series, involving obscure characters from large families and intricate webs of lies, plots, and murder. The nature of the series remains generally lighthearted, something that's reinforced by its playful, anime-inspired visual style, but the nature of the crimes committed can be cold and downright disturbing. While the game's legal acumen is highly dubious, its aim seems to be more about producing comedic or stereotypically dramatic courtroom moments. Ace Attorney 3 makes light use of the DS touch screen, allowing the player to examine crime scenes and inspect evidence and character profiles. The top screen is used more for storytelling purposes, displaying various dialogue and conversations between characters. During these sequences the lower screen becomes a selection menu, displaying a series of questions to ask witnesses and further your investigation in search of evidence to use in defense of your client in each chapter.",623.0,2600,Adventure,7.382025770037162
447,Phantom Brigade,2007.0,,0.08,0.02,0.0,0.01,0.17,16.0,"Phantom Brigade is a hybrid real-time and turn-based tactical RPG, focusing on in-depth customization and player-driven stories. As the last surviving squad of mech pilots, you must capture enemy equipment and facilities to level the playing field. Outnumbered and out-gunned, lead The Brigade through a desperate campaign to retake their war-torn homeland.",51.0,2600,Tactical,7.300602341644947
448,Shin Megami Tensei: Persona,2007.0,,0.08,0.02,0.0,0.01,0.17,416.0,"Persona is a philosophical game that takes place in a world close to our own. It is a departure from the typical swords and sorcery, and it delivers a tale of dreams, the purpose of life, and who we are as individuals. In Persona you have modern weapons like an Uzi and an AK-47. And instead of always fighting monsters, you are given the opportunity to talk your way through a confrontation. By talking things out, you can earn components of spells the more components you have, the more powerful your spells become.",797.0,2600,RPG,7.240622010555373
449,Persona 5,2007.0,,0.08,0.02,0.0,0.01,0.17,1.8K,"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.",1.7K,2600,Adventure,7.241643023448299
450,Persona 5 Strikers,2007.0,,0.08,0.02,0.0,0.01,0.17,993.0,"Persona 5 Scramble is a crossover between Koei Tecmo's hack and slash Dynasty Warriors series and Atlus's turn-based role-playing game Persona series. As a result, it features gameplay elements from both, such as the real-time action combat of the former with the turn-based Persona-battling aspect of the latter. The game is set six months after the events of Persona 5, and follows Joker and the rest of the Phantom Thieves of Hearts as they end up in a mysterious version of Tokyo filled with supernatural enemies.",1.6K,2600,Adventure,7.158151556063656
451,Persona 4 Arena,2007.0,,0.08,0.02,0.0,0.01,0.17,195.0,"Persona 4 Arena is a fighting video game developed for Japanese arcades and later ported to home consoles. Based on Atlus' Persona role-playing game series, Arena serves as a direct sequel to Persona 4 and features characters from its predecessor, Persona 3. Atlus wrote the story to the game while Arc System Works handled the gameplay.",171.0,2600,Fighting,7.4663705491492705
452,Persona 4 Arena Ultimax,2007.0,,0.08,0.02,0.0,0.01,0.17,382.0,"Persona 4 Arena Ultimax is a fighting video game developed by Arc System Works and Atlus. It is the direct sequel to Persona 4 Arena, which is itself a follow-up to the role-playing game Persona 4. The game was originally released in Japanese arcades on November 28, 2013, and later ported to home consoles. Unlike the previous game, it is not region locked.",604.0,2600,Fighting,7.323675202379798
453,Persona 3 Portable,2007.0,,0.08,0.02,0.0,0.01,0.17,825.0,"Persona 3 Portable is an enhanced remake of Persona 3 for the PlayStation Portable. The game features an option to play as a female character, which alters some aspects of the story. In addition to the new playable character, there are two new difficulty levels to select from alongside the original game's three. The game also features some other story related changes regardless of the player character gender. The battle system is also updated to be closer that of Persona 4.",995.0,2600,Visual Novel,7.289680416159986
454,Persona 2: Eternal Punishment,2007.0,,0.08,0.02,0.0,0.01,0.17,594.0,"Persona 2: Eternal Punishment is a role-playing video game developed by Atlus, and chronologically the third installment in the Persona series. Eternal Punishment takes place in the fictional Japanese city of Sumaru, and is a direct sequel to Persona 2: Innocent Sin. Taking place a year after Innocent Sin, the game follows reporter Maya Amamo as she investigates the Joker Curse, a malign phenomenon where people's wishes and rumors are coming true and causing chaos. During her investigations, she and others who join her gain the ability to summon Personas, personified aspects of their personalities. The gameplay features turn-based battle gameplay, where characters use their Personas in battle against demons, and a separate Rumor system, where rumors spread around the city can influence events in the characters' favor.",993.0,2600,RPG,7.077642272183461
455,Payday: The Heist,2007.0,,0.08,0.02,0.0,0.01,0.17,55.0,"Payday: The Heist is an action filled first person shooter that lets players take on the role of a hardened career criminal executing intense, dynamic heists in constant pursuit of the next “big score”. Load out with an array of weaponry and equipment. Navigate six high-stake heists with three other live or A.I. Co-Op partners in crime.",23.0,2600,Shooter,6.999954205885411
456,Pathologic 2,2007.0,,0.08,0.02,0.0,0.01,0.17,513.0,"Pathologic 2 is a narrative-driven dramatic thriller about fighting a deadly outbreak in a secluded rural town. You are a healer, and to save anyone, you'll have to survive in this bleak and strange world, where even food and medicine are scarce.",1.3K,2600,RPG,7.159719007168898
457,Parasite Eve II,2007.0,,0.08,0.02,0.0,0.01,0.17,229.0,"Parasite Eve II is an action role-playing survival horror video game released exclusively for the PlayStation. The game was developed by Square and published in Japan in 1999 and in both North America and, unlike the previous game, in PAL regions in 2000. It is the sequel to Parasite Eve and the second game in the series of the same name.
             

              Parasite Eve II is set several years after the events in the original game. The protagonist from the first game, Aya Brea, also features in this game as the playable character. She becomes involved with another outbreak of Mitochondrial creatures. Gameplay diverges from the previous game: battles take place in real time and the area of action is less restrictive. The approach is more typical of traditional survival horror games, although some role-playing elements are retained.",344.0,2600,RPG,7.350262099759226
458,Tom Clancy's Splinter Cell: Pandora Tomorrow,2007.0,,0.08,0.02,0.0,0.01,0.17,137.0,"Pandora Tomorrow takes place in Indonesia during the spring of 2006, in which the United States has established a military presence in the newly independent country of East Timor to train that country's military forces in their fight against anti-separatist Indonesian guerrilla militias. Foremost among these Indonesian militias is the Darah Dan Doa (Blood and Prayer), led by Suhadi Sadono.",123.0,2600,Shooter,6.993860967426289
459,Paladins,2007.0,,0.08,0.02,0.0,0.01,0.17,167.0,"Paladins is a brightly colored, online, class based, first person shooter. It features Champions who have various weapons and abilities. On top of that, there is a Cards System that modifies the behaviour and abilities in certain ways.
             

              Enter a fantasy world of ancient technology in Paladins, a team-based shooter with strategy elements and deep character customization. Through a unique collectible card system, players can amplify and augment a character’s core set of abilities to play exactly how they want to play.",16.0,2600,Strategy,7.243329336162366
460,Pac-Man,2007.0,,0.08,0.02,0.0,0.01,0.17,427.0,"Pac-Man is an arcade game developed by Namco and first released in Japan on May 22, 1980. it is considered one of the classics of the medium, virtually synonymous with video games, and an icon of 1980s popular culture. The player controls Pac-Man through a maze, eating pac-dots (also called pellets or just dots). When all pac-dots are eaten, Pac-Man is taken to the next stage. Four enemies (Blinky, Pinky, Inky and Clyde) roam the maze, trying to catch Pac-Man. If an enemy touches Pac-Man, a life is lost and the Pac-Man itself withers and dies. When all lives have been lost, the game ends. Near the corners of the maze are four larger, flashing dots known as power pellets that provide Pac-Man with the temporary ability to eat the enemies. The enemies turn deep blue, reverse direction and usually move more slowly. When an enemy is eaten, its eyes remain and return to the center box where it is regenerated in its normal color. Blue enemies flash white to signal that they are about to become dangerous again and the length of time for which the enemies remain vulnerable varies from one stage to the next, generally becoming shorter as the game progresses.",31.0,2600,Arcade,7.133025519422445
461,Pac-Man in a Tin,2007.0,,0.08,0.02,0.0,0.01,0.17,0.0,Pac-Man in a Tin is a pocket-sized tin contains the classic arcade game in all its 8-bit glory.,2.0,2600,Arcade,7.157969462218878
462,PUBG: Battlegrounds,2007.0,,0.08,0.02,0.0,0.01,0.17,299.0,PUBG: Battlegrounds is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,32.0,2600,Shooter,7.226154958383864
463,Oxenfree,2007.0,,0.08,0.02,0.0,0.01,0.17,592.0,"Oxenfree is a supernatural adventure game. Rites of passage and Senior year traditions set the stage for a group of friends sneaking off to Edwards Island, an old military outpost with no phone service. Players will take on the role of Alex as she brings her new stepbrother Jonas to an overnight party gone horribly wrong. Inspired by classic cult films like Stand by Me and Poltergeist, Oxenfree is an adventure that pulls from the past but looks to the present. “It’s a coming of age story where players control how their hero comes of age,” says Sean Krankel, co-founder of Night School. “We’re drawing on the fond and mortifying aspects of being in your late teens, and setting it against a dangerous and ghostly backdrop.”",449.0,2600,Adventure,7.1063987455538085
464,Overcooked!,2007.0,,0.08,0.02,0.0,0.01,0.17,376.0,"Overcooked! is a co-op cooking game for 1-4 players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out.
              

              Take part in an epic journey across the Onion Kingdom and tackle an increasingly challenging and bizarre gauntlet of kitchens which will push your skills of co-operation and co-ordination to the very limits.",115.0,2600,Simulator,7.320132008711741
465,Overcooked! 2,2007.0,,0.08,0.02,0.0,0.01,0.17,414.0,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!,184.0,2600,Arcade,7.224181031228912
466,Outlast II,2007.0,,0.08,0.02,0.0,0.01,0.17,279.0,"Outlast 2 is the sequel to the acclaimed survival horror game Outlast. Set in the same universe as the first game, but with different characters and a different setting, Outlast 2 is a twisted new journey into the depths of the human mind and its dark secrets. No conflict is ever black and white.",253.0,2600,Indie,7.072747224871138
467,Outer Wilds,2007.0,,0.08,0.02,0.0,0.01,0.17,1.8K,"Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past.",3.1K,2600,Simulator,7.060573087796262
468,Osu!,2007.0,,0.08,0.02,0.0,0.01,0.17,187.0,Osu! is a freeware rhythm game originally for Microsoft Windows. It is written in C# on the .NET Framework and inspired by Osu! Tatakae! Ouendan.,90.0,2600,Indie,7.318698733341192
469,Kingdom Hearts Final Mix,2007.0,,0.08,0.02,0.0,0.01,0.17,428.0,"Originally released only in Japan on December 26, 2002, Kingdom Hearts Final Mix has several events and a number of gameplay tweaks that are not in previous releases. Spoken dialogue is in English, with Japanese subtitles. New scenes, clarifying certain plot points, such as Riku's journey and foreshadowing of Kingdom Hearts II, were included, but no new dialogue was recorded. A gameplay option allows the player to skip cutscenes after seeing them once. The optional bosses first included in the English version were introduced to Japanese players for the first time, along with a new fight against ""Unknown Man,"" in an attempt to raise interest for the sequel.",162.0,2600,RPG,7.260927085969875
470,Devil May Cry,2007.0,,0.08,0.02,0.0,0.01,0.17,1.2K,"Originally intended to be the fourth installment in the Resident Evil series, Devil May Cry is an action-adventure game that introduced a host of new elements to the gaming community. Chief among them is the Stylish Rank, which grades the player's performance in combat. The game is split into Missions, which are individually scored according to various factors, such as Orbs gathered and damage taken. Additionally, Devil May Cry did away with the pre-rendered backgrounds of prior Resident Evil games in order to allow for a dynamic camera system.",1.1K,2600,Brawler,7.090535892148003
471,Half-Life: Opposing Force,2007.0,,0.08,0.02,0.0,0.01,0.17,298.0,"Opposing Force returns to the same setting as Half-Life, but instead portrays the events from the perspective of a U.S. Marine, one of the enemy characters in the original game. The player character, Adrian Shephard, is sent in to neutralize the Black Mesa Research Facility after a scientific mishap causes it to be invaded by aliens, but quickly finds that the Marines are outnumbered and slowly being beaten back by a second alien race and black operations units.",95.0,2600,Shooter,6.979243325839747
472,Keep Talking and Nobody Explodes,2007.0,,0.08,0.02,0.0,0.01,0.17,144.0,"One player is trapped in a virtual room with a ticking time bomb they must defuse. The other players are the “Experts” who must give the instructions to defuse the bomb by deciphering the information found in the bomb defusal manual. But there’s a catch: the experts can’t see the bomb, so everyone will need to talk it out – fast!",106.0,2600,Indie,7.111221686302548
473,Mass Effect Legendary Edition,2007.0,,0.08,0.02,0.0,0.01,0.17,581.0,"One person is all that stands between humanity and the greatest threat it’s ever faced. Relive the legend of Commander Shepard in the highly acclaimed Mass Effect trilogy with the Mass Effect Legendary Edition. Includes single-player base content and over 40 DLCs from Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors and packs. Experience an amazingly rich and detailed universe where your decisions have profound consequences on the action and the outcome.",930.0,2600,Strategy,7.314296915620119
474,Kid Icarus: Uprising,2007.0,,0.08,0.02,0.0,0.01,0.17,860.0,"One of the most beloved franchises in Nintendos long history makes its glorious return in spectacular 3D! Pit of Kid Icarus fame is back in a new game designed specifically for the Nintendo 3DS system, by Masahiro Sakurai, creator of the Kirby and Super Smash Bros. franchises, and his development team at Project Sora.
             

              Kid Icarus: Uprising is a fast-paced and action-packed blend of aerial and ground-based shooting built on elegantly intuitive and streamlined play control. This follow-up to the original Kid Icarus released for the Nintendo Entertainment System in 1987 has been at the top of gamers wish lists for years.
             

              Boasting gameplay that is easy to pick up but incredibly deep, the game is sure to satisfy novice gamers as well as fans who have been clamouring for a new installment in the franchise.
             

              The hero, Pit, teams up with Palutena, the goddess of light, who bestows on him the miracle of flight for limited stretches. With this gift, Pit soars through the skies, shooting down swarms of enemies, then alights and engages in frantic ground-based battles against Medusas underworld army.
             

              Find and collect numerous weapons and items that offer bonuses and ability boosts. Players can choose weapons before they send Pit into battle, giving them countless layers of strategies in each level.
             

              Players can choose between a basic Blade, basic Claws and a basic Orbitar weapon. Blades are well-balanced, Claws have limited reach but increase running speed and the Orbitars can shoot two shots that grow in power over distance.",924.0,2600,Shooter,7.008138126155321
475,Tales of Arise,2007.0,,0.08,0.02,0.0,0.01,0.17,650.0,"On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.
             

              Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience.",1.9K,2600,Adventure,7.238632899357415
476,The Artful Escape,2007.0,,0.08,0.02,0.0,0.01,0.17,346.0,"On the eve of his first performance, Francis Vendetti battles with the legacy of a dead folk legend and the cosmic wanderings of his own imagination. In this 2D adventure platformer, Francis, a teenage guitar prodigy, sets out on a psychedelic, multidimensional journey to inspire his stage persona.",353.0,2600,Indie,7.2326931094646385
477,Odin Sphere: Leifthrasir,2007.0,,0.08,0.02,0.0,0.01,0.17,228.0,"Odin Sphere: Leifthrasir is an enhanced HD remake of Odin Sphere game for PlayStation 2. Many various adjustments and changes were made in gameplay, considering comments from people who played the original game. While this is enhanced version of the original and it's trying to stay true to it, there are new gameplay and story elements presented in this release, some of which include new boss fights, new attack moves, new background music, and new map area to explore. While the initial idea of the developers was to make just n HD remastered release, it ended up being more of a re-created game version. As such, the game offers both classic mode as well as refined mode with all new elements and new gameplay.",349.0,2600,RPG,7.2113944352551
